Memory Stats

Group, Name, MB, KB, Bytes
, ROM, 17, 18394, 18836332
, EWRAM, 5, 6112, 6258688
, IWRAM, 15, 16383, 16777214


ROM GROUPS

Group, Name, MB, KB, Bytes
ROM, TOTAL, 17, 18394, 18836332
ROM, src/battle_script_commands.o, 0, 8, 8747
ROM, src/pokemon_storage_system.o, 0, 5, 6135
ROM, src/event_object_movement.o, 0, 5, 5695
ROM, src/party_menu.o, 0, 4, 5068
ROM, src/tv.o, 0, 4, 4498
ROM, src/trade.o, 0, 4, 4289
ROM, src/contest.o, 0, 4, 4161
ROM, src/battle_util.o, 0, 3, 4019
ROM, src/pokemon.o, 0, 3, 3937
ROM, src/battle_main.o, 0, 3, 3912
ROM, src/pokedex.o, 0, 3, 3695
ROM, src/battle_dome.o, 0, 3, 3587
ROM, src/battle_anim_effects_3.o, 0, 3, 3242
ROM, src/rogue_controller.o, 0, 3, 3099
ROM, src/dodrio_berry_picking.o, 0, 3, 3086
ROM, src/battle_controller_player.o, 0, 2, 3057
ROM, src/union_room.o, 0, 2, 3034
ROM, src/pokemon_animation.o, 0, 2, 2872
ROM, src/pokemon_summary_screen.o, 0, 2, 2854
ROM, src/slot_machine.o, 0, 2, 2843
ROM, src/easy_chat.o, 0, 2, 2767
ROM, src/battle_factory_screen.o, 0, 2, 2732
ROM, src/roulette.o, 0, 2, 2593
ROM, src/battle_transition.o, 0, 2, 2554
ROM, src/battle_anim_effects_1.o, 0, 2, 2433
ROM, src/berry_blender.o, 0, 2, 2385
ROM, src/field_effect.o, 0, 2, 2238
ROM, src/battle_tower.o, 0, 2, 2130
ROM, src/item_menu.o, 0, 1, 2024
ROM, src/link_rfu_2.o, 0, 1, 2014
ROM, src/battle_anim_effects_2.o, 0, 1, 1960
ROM, src/pokemon_jump.o, 0, 1, 1938
ROM, src/decoration.o, 0, 1, 1873
ROM, src/frontier_util.o, 0, 1, 1873
ROM, src/berry_crush.o, 0, 1, 1870
ROM, src/battle_controller_opponent.o, 0, 1, 1865
ROM, src/contest_util.o, 0, 1, 1805
ROM, src/battle_controller_player_partner.o, 0, 1, 1798
ROM, src/rogue_pokedex.o, 0, 1, 1770
